KO	variable	value	Level1	Level2	Level3	Gene	Product	EC	EC2	EC3	Full
K05523	22	0.738998771017276	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	hchA	D-lactatedehydratase/proteindeglycase	4.2.1.130	3.5.1.124		 hchA; D-lactate dehydratase / protein deglycase [EC:4.2.1.130 3.5.1.124]
K08364	6	0.787142021941463	Protein families: signaling and cellular processes	Enzymes	Transporters	merP	periplasmicmercuricionbindingprotein				 merP; periplasmic mercuric ion binding protein
K05921	14	0.787902413128686	Metabolism	Amino acid metabolism	Tyrosine metabolism	hpaG	5-oxopent-3-ene-1,2,5-tricarboxylatedecarboxylase/2-hydroxyhepta-2,4-diene-1,7-dioateisomerase	4.1.1.68	5.3.3.-		 hpaG; 5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase / 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [EC:4.1.1.68 5.3.3.-]
K01210	14	0.793019954149412	Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism	E3.2.1.58	glucan1,3-beta-glucosidase	3.2.1.58			 E3.2.1.58; glucan 1,3-beta-glucosidase [EC:3.2.1.58]
K11263	14	0.813084602944029	Metabolism	Lipid metabolism	Fatty acid biosynthesis	bccA,pccA	acetyl-CoA/propionyl-CoAcarboxylase,biotincarboxylase,biotincarboxylcarrierprotein	6.4.1.2	6.4.1.3	6.3.4.14	 bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]
K11263	14	0.813084602944029	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	bccA,pccA	acetyl-CoA/propionyl-CoAcarboxylase,biotincarboxylase,biotincarboxylcarrierprotein	6.4.1.2	6.4.1.3	6.3.4.14	 bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]
K11263	14	0.813084602944029	Metabolism	Amino acid metabolism	Valine, leucine, and isoleucine mdegradation	bccA,pccA	acetyl-CoA/propionyl-CoAcarboxylase,biotincarboxylase,biotincarboxylcarrierprotein	6.4.1.2	6.4.1.3	6.3.4.14	 bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]
K11263	14	0.813084602944029	Metabolism	Carbohydrate metabolism	Propanoate metabolism	bccA,pccA	acetyl-CoA/propionyl-CoAcarboxylase,biotincarboxylase,biotincarboxylcarrierprotein	6.4.1.2	6.4.1.3	6.3.4.14	 bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]
K11263	14	0.813084602944029	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	bccA,pccA	acetyl-CoA/propionyl-CoAcarboxylase,biotincarboxylase,biotincarboxylcarrierprotein	6.4.1.2	6.4.1.3	6.3.4.14	 bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]
K15358	22	0.823183417627851	Metabolism	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism	ena	enamidase	3.5.2.18			 ena; enamidase [EC:3.5.2.18]
K13069	14	0.83406562513626	Not included in pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	E2.7.7.65	diguanylatecyclase	2.7.7.65			 E2.7.7.65; diguanylate cyclase [EC:2.7.7.65]
K07506	22	0.835376834208975	Protein families: genetic information processing	Enzymes	Transcription factors	K07506	AraCfamilytranscriptionalregulator				 K07506; AraC family transcriptional regulator
K00007	14	0.835870992357232	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00007	14	0.835870992357232	Metabolism	Carbohydrate metabolism	Fructose and mannonse metabolism	dalD	D-arabinitol4-dehydrogenase	1.1.1.11			 dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K19611	6	0.851976396133567	Environmental information processing	Signal transduction	Two-component system	fepA,pfeA,iroN,pirA	ferricenterobactinreceptor				 fepA, pfeA, iroN, pirA; ferric enterobactin receptor
K19611	6	0.851976396133567	Protein families: signaling and cellular processes	Enzymes	Transporters	fepA,pfeA,iroN,pirA	ferricenterobactinreceptor				 fepA, pfeA, iroN, pirA; ferric enterobactin receptor
K05523	14	0.867788634427619	Protein families: metabolisms	Enzymes	Peptidases	hchA	D-lactatedehydratase/proteindeglycase	4.2.1.130	3.5.1.124		 hchA; D-lactate dehydratase / protein deglycase [EC:4.2.1.130 3.5.1.124]
K05523	14	0.867788634427619	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	hchA	D-lactatedehydratase/proteindeglycase	4.2.1.130	3.5.1.124		 hchA; D-lactate dehydratase / protein deglycase [EC:4.2.1.130 3.5.1.124]
K07217	14	0.87586926008169	Not included in pathway or Brite	Unclassified: signaling and cellular processes	Others	K07217	Mn-containingcatalase				 K07217; Mn-containing catalase
K07217	22	0.893599758508053	Not included in pathway or Brite	Unclassified: signaling and cellular processes	Others	K07217	Mn-containingcatalase				 K07217; Mn-containing catalase
K01210	22	0.916057611332158	Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism	E3.2.1.58	glucan1,3-beta-glucosidase	3.2.1.58			 E3.2.1.58; glucan 1,3-beta-glucosidase [EC:3.2.1.58]
K19611	22	0.926425967299854	Environmental information processing	Signal transduction	Two-component system	fepA,pfeA,iroN,pirA	ferricenterobactinreceptor				 fepA, pfeA, iroN, pirA; ferric enterobactin receptor
K19611	22	0.926425967299854	Protein families: signaling and cellular processes	Enzymes	Transporters	fepA,pfeA,iroN,pirA	ferricenterobactinreceptor				 fepA, pfeA, iroN, pirA; ferric enterobactin receptor
K08364	22	0.931748025232136	Protein families: signaling and cellular processes	Enzymes	Transporters	merP	periplasmicmercuricionbindingprotein				 merP; periplasmic mercuric ion binding protein
K01210	6	0.933443061187924	Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism	E3.2.1.58	glucan1,3-beta-glucosidase	3.2.1.58			 E3.2.1.58; glucan 1,3-beta-glucosidase [EC:3.2.1.58]
K01822	14	0.937628002348501	Metabolism	Xenobiotics biodegration and metabolism	Steroid degradation	E5.3.3.1	steroidDelta-isomerase	5.3.3.1			 E5.3.3.1; steroid Delta-isomerase [EC:5.3.3.1]
K01822	14	0.937628002348501	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	E5.3.3.1	steroidDelta-isomerase	5.3.3.1			 E5.3.3.1; steroid Delta-isomerase [EC:5.3.3.1]
K07679	6	0.939370113161659	Environmental information processing	Signal transduction	Two-component system	evgS,bvgS	two-componentsystem,NarLfamily,sensorhistidinekinaseEvgS	2.7.13.3			 evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]
K07679	6	0.939370113161659	Diseases	Infectious diseases: bacterial	Pertussis	evgS,bvgS	two-componentsystem,NarLfamily,sensorhistidinekinaseEvgS	2.7.13.3			 evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]
K07679	6	0.939370113161659	Protein families: signaling and cellular processes	Enzymes	Two-component system	evgS,bvgS	two-componentsystem,NarLfamily,sensorhistidinekinaseEvgS	2.7.13.3			 evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]
K07679	6	0.939370113161659	Protein families: metabolisms	Enzymes	Protein kinases	evgS,bvgS	two-componentsystem,NarLfamily,sensorhistidinekinaseEvgS	2.7.13.3			 evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]
K07679	22	0.94912229618507	Environmental information processing	Signal transduction	Two-component system	evgS,bvgS	two-componentsystem,NarLfamily,sensorhistidinekinaseEvgS	2.7.13.3			 evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]
K07679	22	0.94912229618507	Diseases	Infectious diseases: bacterial	Pertussis	evgS,bvgS	two-componentsystem,NarLfamily,sensorhistidinekinaseEvgS	2.7.13.3			 evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]
K07679	22	0.94912229618507	Protein families: signaling and cellular processes	Enzymes	Two-component system	evgS,bvgS	two-componentsystem,NarLfamily,sensorhistidinekinaseEvgS	2.7.13.3			 evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]
K07679	22	0.94912229618507	Protein families: metabolisms	Enzymes	Protein kinases	evgS,bvgS	two-componentsystem,NarLfamily,sensorhistidinekinaseEvgS	2.7.13.3			 evgS, bvgS; two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]
K11021	22	0.967972299612872	Protein families: signaling and cellular processes	Enzymes	Bacterial toxins	tccC	insecticidaltoxincomplexproteinTccC				 tccC; insecticidal toxin complex protein TccC
K05921	22	0.968657234332242	Metabolism	Amino acid metabolism	Tyrosine metabolism	hpaG	5-oxopent-3-ene-1,2,5-tricarboxylatedecarboxylase/2-hydroxyhepta-2,4-diene-1,7-dioateisomerase	4.1.1.68	5.3.3.-		 hpaG; 5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase / 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [EC:4.1.1.68 5.3.3.-]
K05966	22	0.975510665271192	Environmental information processing	Signal transduction	Two-component system	citG	triphosphoribosyl-dephospho-CoAsynthase	2.4.2.52			 citG; triphosphoribosyl-dephospho-CoA synthase [EC:2.4.2.52]
K01822	22	0.976871168169804	Metabolism	Xenobiotics biodegration and metabolism	Steroid degradation	E5.3.3.1	steroidDelta-isomerase	5.3.3.1			 E5.3.3.1; steroid Delta-isomerase [EC:5.3.3.1]
K01822	22	0.976871168169804	Metabolism	Lipid metabolism	Steroid hormone biosynthesis	E5.3.3.1	steroidDelta-isomerase	5.3.3.1			 E5.3.3.1; steroid Delta-isomerase [EC:5.3.3.1]
K10960	22	0.996184382429448	Metabolism	Metabolism of cofactors and vitamins	Porphrin and chlorophyll metabolism	chlP,bchP	geranylgeranyldiphosphate/geranylgeranyl-bacteriochlorophyllideareductase	1.3.1.83	1.3.1.111		 chlP, bchP; geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]
K10960	22	0.996184382429448	Metabolism	Metabolism of terpenoids and polyketides	Terpenoid backbone biosynthesis	chlP,bchP	geranylgeranyldiphosphate/geranylgeranyl-bacteriochlorophyllideareductase	1.3.1.83	1.3.1.111		 chlP, bchP; geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]
